X,Y,fid,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
121.612938540209,25.1430925020677,"1","65","0","0","65",0.17509463026302,326.79673417677742
121.611541082391,25.1453954292638,"1","66","0","0","66",0.17778839380553,330.70300074988830
121.610303756657,25.1477882073668,"1","67","0","0","67",0.18048215734800,334.60926731576177
121.609232312028,25.1502597187327,"1","68","0","0","68",0.18317592089083,338.51553385270392
121.608331726795,25.1527984798995,"1","69","0","0","69",0.18586968443364,342.42180045303951
121.607606185378,25.15539269494,"1","70","0","0","70",0.18856344797628,346.32806702007645
121.607059058879,25.1580303102673,"1","71","0","0","71",0.19125721151850,350.23433356855145
121.606692889432,25.1606990706459,"1","72","0","0","72",0.19395097506078,354.14060016197868
121.606509378384,25.1633865761287,"1","73","0","0","73",0.19664473860364,358.04686672812687
121.606509378384,25.1660803396708,"1","74","0","0","74",0.19933850214573,1.95313327187311
